ROUND/AR	Ac+An/Av	Y
0.661299504	1.00121124	0
0.856891604	1.002343567	0
0.40604091	1.004156564	0
0.352368515	1.003492433	0
0.749761884	1.002873563	0
0.412811617	1.001507538	0
0.401978189	1.001676727	0
0.398434541	1.001580403	0
0.644456932	1.002346041	0
0.639190918	1.002356638	0
0.244047031	1.003155819	0
0.454845889	1.003474903	0
0.652556749	1.004374772	0
0.513798294	1.002395783	0
0.622180155	1.003502627	0
0.458460288	1.001497903	0
0.75445149	1.002554278	0
0.640496198	1.0012791	0
0.599581849	1.001305483	0
0.900455494	1.002895194	0
0.465970373	1.001936108	0
0.315600247	1.001269036	0
0.542882405	1.002273301	0
0.557729649	1.002601156	0
0.682111001	1.001078167	0
0.452765442	1.003474903	0
0.435244442	1.003949731	0
0.868592731	1.002269289	0
0.498164879	1.003466872	0
0.389096806	1.001636279	0
0.472971114	0.996725912	0
0.456037277	1.003109101	0
0.471137346	1.002220372	0
0.627148175	1.004327301	0
0.698595787	1.001078749	0
0.879666104	1.001179523	0
0.505546075	1.003455859	0
0.659358506	1.002893758	0
0.698395454	1.001236858	0
0.532020423	1.008559919	0
0.60407275	1.000945477	0
0.732602927	1.003250591	0
0.707604307	1.001520142	0
0.482018884	1.002773156	0
0.719277415	1.001748252	0
0.550994656	1.002832861	0
0.445564382	1.003664122	0
0.45081582	1.006216696	0
0.503263337	1.003458878	0
0.593988439	1.004672897	0
0.556508765	1.004799302	0
0.557297499	1.004365079	0
0.431395731	1.005169443	0
0.84232746	1.007343941	0
0.559386687	1.002752925	0
0.696345127	1.004892736	0
0.277318448	1.005773196	0
0.915239644	1.002979516	0
0.886190342	1.008595989	0
0.606244647	1.003834089	0
0.688096226	1.00659868	0
0.445534642	1.002579536	0
0.425115733	1.00312989	0
0.869626037	1.005269558	0
0.665986617	1.005108055	0
0.452222446	1.003914591	0
0.785359801	1.002609603	0
0.467026584	1.003476246	0
0.597094506	1.002024291	0
0.641438411	1.003660769	0
0.288800516	1.004822446	0
0.573094103	1.004149378	0
0.749458921	1.004740941	0
0.260084655	1.002458513	0
0.636951317	1.002991325	0
0.76878562	1.002807018	0
0.582010986	1.001522843	0
0.404132231	1.001703578	0
0.492804493	1.004036909	0
0.590395697	1.001678791	0
0.899203489	1.001975727	0
0.532734837	1.001053186	0
0.398661447	1.002154012	0
0.587414731	1.001732673	0
0.572444579	1.002276176	0
0.261623446	1.002964161	0
0.807837498	1.004222379	0
0.685600729	1.003745318	0
0.80567274	1.002095338	0
0.515399526	1.001519295	0
0.706911048	1.001718213	0
0.62235721	1.001011122	0
0.806466098	1.000907647	0
0.838139705	1.003992016	0
0.749458921	1.002211778	0
0.705299404	1.002316826	0
0.282713883	1.004763525	0
0.811784845	0.193102605	0
0.510972907	0.854910714	0
0.651545726	0.786228482	0
0.661758724	0.792853963	0
0.369076549	0.840858292	0
0.436537826	0.984656241	0
0.806628346	0.952396426	0
0.80904839	0.996204069	0
0.335127938	1.001294778	0
0.413216765	1.000180832	0
0.450469799	1.001374004	0
0.523923272	1.004264392	0
0.324991449	1.00292933	0
0.26657373	1.002477701	0
0.314582165	1.000497389	0
0.331873956	1.002755664	0
0.691757465	0.99822294	0
0.809609502	0.963278689	0
0.849912418	0.991400069	0
0.474579774	1	0
0.383139391	1.003625378	0
0.813401876	0.998810468	0
0.766879762	1.001588022	0
0.571396175	1.003306282	0
0.659035558	1.000945626	0
0.620608161	1.004661017	0
0.478420252	1.001331558	0
0.390242379	1.002587694	0
0.651093359	0.991532977	0
0.369544073	0.996962465	0
0.864274426	0.937955737	0
0.193325712	0.863742538	0
0.875900796	0.982829414	0
0.781471004	0.919584955	0
0.380567551	0.978415439	0
0.508521714	1.000329327	0
0.473340213	1.002385212	0
0.932406334	0.997981837	0
0.526930894	0.947621593	0
0.879054941	1.002090957	0
0.781943585	0.969787458	0
